px1,py1,pz1
-0.798217,-3.68411,-4.85467
4.41827,-6.59652,14.6251
5.04085,-6.82709,-0.997093
4.2004,-2.65776,-2.40282
3.67676,3.29427,-0.552486
0.881824,-7.66379,1.77945
1.55754,3.53577,-4.48226
1.66175,-8.59985,-1.40178
-13.3218,-37.9216,-93.8912
8.48271,-4.02975,-14.6438
0.241087,-1.58105,-8.03645
-9.81956,-14.0013,-15.6095
0.992629,-4.19253,3.55177
-8.08696,2.05376,0.484996
13.1615,-1.91883,-4.12068
3.05221,-1.72775,5.64668
3.92842,-7.13222,10.502
-2.98017,-3.08726,-21.901
9.44973,-8.60254,-5.63406
-10.2307,12.125,-43.0741
0.120764,9.11525,-5.05059
-4.02018,1.02156,-4.58752
2.36673,6.16758,-10.2149
8.80485,1.72877,-5.5545
-6.74114,2.7435,24.5366
-3.44125,-3.3854,21.6559
-12.48,0.195479,5.75206
-5.03191,7.67312,-0.547106
-2.17173,-7.60898,8.44333
-2.73849,2.55509,6.42853
6.14862,13.0768,13.7465
3.67415,9.47485,18.4606
-7.97776,10.251,-16.7432
-1.25925,-8.39309,-20.553
-5.47287,13.6323,15.4812
-8.09106,-3.7192,30.2596
-7.05681,-5.13974,9.01141
2.15789,3.41199,-6.81177
-4.23059,1.01998,10.1728
-8.77781,-21.1372,5.50223
-3.79637,0.226932,5.30728
1.21107,3.30331,-7.13392
-10.6579,9.23274,8.0114
-5.36188,6.07827,-9.2918
-12.6678,-1.05713,2.5952
-12.9479,-3.68673,17.4995
2.84705,6.01827,-4.36648
8.87298,-16.1465,-9.74004
6.70045,-21.7152,-24.4859
4.24311,-0.575873,5.80974
1.90492,-20.7319,-2.81411
9.4072,8.65228,23.7904
18.1727,-3.3686,1.72606
5.53914,-3.28682,3.95773
2.4414,-8.56719,-11.3606
-7.57397,-4.01717,-15.0805
-4.68108,3.26249,1.73854
-23.7369,24.3321,32.333
-3.09967,-0.459139,9.72162
-6.83526,27.6421,-9.02515
-0.519866,3.63011,17.1781
4.35105,-6.92071,-5.85234
14.4575,3.72366,-6.39933
-2.19026,14.3664,-17.0908
1.818,-5.49438,-5.17326
5.59638,0.0805316,-0.755497
-11.4782,-1.17571,13.9453
1.87219,4.74594,-0.0387379
2.88469,-17.3745,4.50906
14.1429,6.07624,11.3126
5.07195,8.94057,22.7816
-0.973139,4.60121,8.79357
-3.12369,2.54126,-2.4626
-5.81452,2.54694,-2.05287
0.412019,-15.8571,-2.46991
7.80902,6.09346,7.9273
-12.1346,4.09919,-14.1022
0.307105,1.18932,5.75641
-9.67714,-1.52097,-7.57437
-4.50156,-4.11884,9.96502
-3.87021,0.371963,-17.5023
3.22594,-7.89672,-24.5191
5.63508,-7.2848,-15.4439
-1.95265,2.83551,-12.8506
1.29502,6.64617,-0.712759
-6.11474,-0.782567,8.00001
-9.70247,-14.2786,-68.4493
-0.279529,17.9851,23.7466
-14.7864,-2.97144,-13.9493
-3.79192,4.76396,4.05065
4.35437,-16.9712,13.2891
12.0942,8.20309,19.6893
5.01191,0.715616,-3.30564
-2.24004,-2.6806,-7.62795
-3.12624,2.91257,20.6395
-11.8246,6.31818,-0.230127
2.53494,-2.33447,4.13068
-6.98367,5.44622,-6.01832
3.23031,-0.887288,-5.69344
9.36151,-6.39913,23.1011
-2.76064,-5.13065,-13.4259
2.42808,8.77813,-4.99077
-2.75977,1.70915,-7.67891
8.98748,-5.45166,-20.5158
8.62519,5.03321,-3.15778
-8.64079,1.20411,8.80428
-1.33707,-3.06073,6.20246
-14.2153,-10.9695,7.04929
-1.46758,8.99857,-3.68924
-2.69028,-5.42235,6.35749
-5.57757,-16.7144,19.7293
7.64417,-6.54936,24.6096
-18.1185,-0.835719,10.9735
-11.2187,3.55023,9.94961
-7.77002,5.36791,-7.10655
12.7318,0.219304,14.6635
15.283,10.448,3.08176
0.919533,6.5191,-0.15943
4.09694,0.649154,-7.81747
0.0442576,3.05659,12.2242
-13.4202,7.36359,-1.85843
-8.97524,-9.32862,-15.9179
2.46335,-0.168321,10.1853
2.03887,-0.199377,-6.4545
-6.03998,-5.52061,-38.1702
-7.83131,2.03112,-10.2414
-7.25776,0.630757,-12.8132
8.98115,12.2423,-0.486593
1.79664,-11.1602,15.3852
-4.98414,-3.91826,-4.29394
-5.04899,9.17793,-7.90568
-9.51604,2.80085,-19.0496
-2.25619,-3.3579,4.29106
-4.50583,-4.84867,-5.8848
12.398,10.1676,-14.0139
-3.21942,6.79115,8.28463
27.3765,-0.639946,-72.3862
16.8497,5.62466,-25.1788
-13.7296,-5.89783,-1.03249
-11.8468,19.9019,41.0466
4.13658,-1.2912,-0.621747
-1.13962,-1.17878,8.86927
16.081,19.328,8.90151
8.50625,-10.7512,-6.7237
2.9835,-5.49552,5.54847
-7.28529,-16.5728,37.621
-15.0526,5.55707,-11.2808
12.3376,4.63634,11.3707
-8.05832,-17.841,11.8175
16.4483,-12.1312,-65.8479
9.83068,-0.094853,-2.23139
1.03409,1.17388,6.56674
8.71298,-0.981263,3.64948
1.7924,0.374338,8.74848
-2.77643,0.796477,6.58275
-10.1553,4.38058,3.22436
-0.853418,-7.16596,-13.5396
4.5441,10.0159,-3.8953
1.6461,-9.78212,-21.0976
6.03065,2.77146,-10.3306
-7.28517,-5.5646,-7.22413
4.32005,1.5409,22.6527
-4.33828,9.53082,-32.7578
2.43005,13.0878,4.83531
3.93074,-1.03996,-10.0537
3.67681,-3.86521,-8.22048
8.32676,1.19734,16.4121
5.56453,2.60683,3.01889
11.9987,-11.1494,3.0648
-16.3782,-2.21367,-1.52984
-9.11998,11.2125,0.242284
-1.37531,-3.05655,8.32647
-3.73835,-7.29804,3.40868
-0.277644,-10.3373,4.8631
1.12799,-7.76606,-12.8162
-6.96472,-5.64497,-15.019
-3.23466,1.5715,14.2257
1.35816,1.44699,8.79846
7.72139,-0.579732,-2.23919
-4.23013,-7.93916,-0.0204611
-5.92962,-5.74231,4.05323
0.318729,-1.15817,6.36207
9.03719,-6.644,-23.4347
-0.827153,3.65897,-13.45
1.86264,-8.59895,0.64859
2.4909,-1.67808,-8.88499
26.6416,16.4883,26.4951
-9.15177,-11.546,9.41731
1.36932,8.92045,3.29589
-1.46754,0.765836,-7.35644
1.68669,1.87669,-3.67244
4.21868,-12.3039,-8.56796
-5.46649,12.6731,-27.6033
-24.1813,-5.80285,6.8889
1.62617,-9.84371,0.596663
2.06579,1.97478,-13.9556
-2.41812,-10.4253,-4.51523
-3.80847,15.7292,-60.7805
-11.2445,5.06495,14.1563
6.65415,7.89564,5.39546
10.5808,3.3612,33.6927
-4.03911,4.0493,-3.64472
-1.45792,-1.64564,-6.13687
-3.94006,-5.23141,-5.41628
-2.47794,-0.568132,10.8799
-2.31159,-2.96701,6.76371
1.39509,6.1919,-0.605965
5.87987,-3.79812,-9.61073
8.2191,10.2662,15.4652
5.08791,3.50495,-6.03644
13.7348,5.27879,32.1281
1.76478,1.55421,-9.10035
-8.53672,3.09132,15.4501
22.9123,-13.0531,-20.2208
-2.45176,-11.1595,-0.679439
9.00441,2.22068,-3.50635
1.75947,1.55856,-7.7945
-24.2129,28.5883,30.9037
12.8588,-2.10462,10.6906
-0.704288,3.76618,-9.81051
-6.33808,-0.846757,20.9559
2.84148,9.89513,-1.62285
7.41354,-0.600582,17.0807
0.833553,-7.64815,-6.15688
1.85622,6.10265,-5.32755
8.54778,0.954698,0.69507
1.65854,-7.50619,-8.06978
5.22618,-12.0358,2.83397
10.5385,-3.48928,13.5687
-20.6538,21.0687,-11.534
-8.2345,-11.604,-24.2546
-3.94147,1.56479,7.55627
3.79699,-0.325283,-5.59106
5.68948,-3.49367,-9.28233
-0.778729,3.57786,9.60746
-3.60369,7.73871,-18.4701
-6.64773,1.86361,-5.57757
7.5945,-5.01312,11.0144
2.36125,5.76282,0.745163
-12.2307,-0.81665,25.3694
-13.5219,4.3682,-1.64072
2.31054,5.62657,-0.425958
-5.46756,-5.56926,9.99241
-1.26188,-1.44212,9.76832
-0.780938,-14.5395,3.59921
-6.37981,-2.02936,-10.3533
0.514995,-8.24673,-35.3732
-1.72398,9.61146,1.24602
-1.06228,5.5624,-9.05587
14.9769,-1.79316,-3.93251
-1.92993,-2.60075,9.49825
3.87178,-8.66854,-0.575176
-4.75818,-13.7273,15.8033
1.40028,1.73368,7.96651
-2.04884,0.971219,-10.0286
1.63701,10.4531,-17.742
-8.27835,-12.716,29.9346
-0.118431,-7.47185,-18.2896
-5.18677,5.99185,2.83797
3.66536,-16.2859,26.0858
1.99865,0.921857,4.70317
3.74166,1.22184,-4.85471
-2.46598,-2.39318,-4.32861
-1.98362,-3.93986,4.9326
-10.1733,-12.9391,-7.65605
8.82412,4.82955,-7.97847
9.69396,-8.92751,3.71311
-12.6339,-9.5929,21.3566
-2.17969,3.46792,14.8139
7.32322,4.51366,2.89033
27.3245,15.3554,62.6057
-3.01873,-2.96648,7.45855
6.39922,0.309137,-0.50483
7.62953,-3.67453,-22.2906
-5.46097,-6.64362,0.764639
-4.53853,4.87601,1.01334
-8.20149,-9.71736,40.3281
3.1426,0.681494,-8.17274
3.78997,4.73821,2.19959
-3.34248,5.33738,11.1229
1.35126,-5.33688,3.8594
-4.61401,17.4593,-12.6379
-7.89654,6.81105,8.94225
-0.597994,3.09432,8.10509
-2.30024,2.24394,-11.7559
12.2416,9.768,10.2737
3.09944,-0.353025,-5.91208
-3.03607,1.97217,6.73765
-2.86196,-2.70016,-1.93067
15.2469,-4.11143,-34.8299
2.99589,8.42855,-10.1467
-1.78658,-2.21546,-9.10869
-5.6751,-5.86324,3.37887
-0.599501,2.68127,-10.48
-2.05624,4.27369,16.5281
-6.17176,9.12522,7.9184
-8.65293,-0.400573,11.3504
-5.16983,-6.40266,6.02972
-1.44451,9.30903,13.2996
-3.47418,0.54711,-13.8731
10.3491,-0.182628,-4.18329
-14.1577,8.39224,-20.4339
-3.61432,14.6033,41.8026
8.37448,6.32163,7.37834
3.78338,-11.2413,-6.88842
-3.84762,-0.726512,7.35399
0.778995,-1.64802,-8.77905
14.2952,-7.72047,6.48361
-7.45579,12.8991,-1.79427
-0.149255,32.9271,22.5046
-13.5582,-3.17529,-3.43106
13.8028,-4.31973,-9.69264
10.8286,-3.57391,-34.8406
-8.38385,3.59786,9.75396
6.59099,0.559223,-5.1819
-6.28914,-1.99792,0.442127
3.5486,-5.00753,6.87163
0.0230404,-23.2818,-33.7196
9.27878,-2.98918,8.8557
7.52921,3.9375,-16.2076
-10.3913,0.888922,16.9607
6.213,-5.04195,6.46373
-0.403859,-2.52363,13.9321
1.29873,-8.63695,24.734
3.46034,-9.14541,-8.50624
0.287857,8.4703,7.0807
-2.50068,5.82321,4.92815
-0.479915,-6.14704,3.07816
-5.92523,-9.66283,-3.27619
0.544521,-1.67264,-7.00118
13.825,6.14597,-0.464379
0.541832,-1.29189,7.38481
3.00908,-2.66113,10.0712
0.590575,3.42421,4.11727
6.04287,4.22727,-3.50631
6.37404,8.77482,10.7341
8.70192,3.78664,16.1841
6.20379,0.696571,-9.64306
-9.3011,-4.84517,2.30476
-1.77133,-6.54143,6.08316
-8.69432,-2.66187,6.51097
-6.82875,2.08522,-18.5753
3.21349,3.65477,15.8825
-1.97292,3.5684,-5.08022
12.2906,10.3558,-9.24992
2.31496,3.77411,-6.14354
12.7965,-3.43588,-14.4562
-0.420248,10.0534,3.96598
3.41333,-0.383181,-6.13821
-3.64056,-5.01049,9.53551
-6.19224,0.328204,-11.7522
-4.19432,-7.4976,4.17735
-4.50766,8.28583,-0.654035
6.1613,5.67049,-5.05552
-8.28687,8.00389,4.88941
-2.22261,9.27682,4.53403
-5.55655,-13.0446,1.85747
-5.00085,9.62969,-17.3757
-3.09488,-1.16111,-16.9914
9.49974,4.22301,15.58
-20.3731,-0.128851,-13.8911
5.63786,7.88091,-0.691667
1.97487,1.22126,7.08986
5.55858,-9.48211,7.05727
-10.4642,4.56206,8.35891
2.02321,0.303575,8.80378
-5.52581,3.67488,-5.82178
-0.165022,4.4221,20.9915
0.851775,-4.49857,7.59297
11.0316,2.97553,7.87576
1.41304,-8.22297,-5.27121
-13.5979,-1.4282,-9.26553
4.24073,-0.0732292,-5.30759
3.22705,-6.05902,2.06709
-2.89976,3.56378,-5.99583
8.22476,4.23738,-21.7855
4.67545,0.726529,-1.88815
4.53439,8.13713,-48.335
3.37934,2.822,-11.9885
-3.64739,3.41964,11.0316
-1.15165,5.07285,23.0041
0.600225,-3.42964,-3.15247
-1.57836,-6.13334,-3.55754
15.2573,4.51511,7.53812
5.23066,18.0338,4.43516
-3.98843,-8.49409,-12.3435
-3.9588,8.94487,-11.714
-3.02818,8.60677,3.88026
-0.0128334,-5.16542,10.517
2.36238,-3.85985,-6.60311
0.615178,-3.46772,-8.77614
5.42385,-0.283705,1.10412
